POSTCODE,POPULATION,FIREARMS,FIREARMS_PER_1000
2337,8060,4722,585.86
2338,1403,1106,788.31
2339,718,852,1186.63
2340,52436,18215,347.38
2341,1478,589,398.51
2342,465,539,1159.14
2343,4858,3558,732.40
2344,674,710,1053.41
2345,707,656,927.86
2346,3033,2604,858.56
2347,1865,1600,857.91
2350,26911,8384,311.55
2352,2950,2153,729.83
2353,1201,1190,990.84
2354,3484,3728,1070.03
2355,627,1098,1751.20
2356,124,154,1241.94
2357,4069,2947,724.26
2358,3727,2811,754.23
2359,710,829,1167.61
2360,14995,8298,553.38
2361,927,1113,1200.65
2365,3762,4106,1091.44
2369,871,704,808.27
2370,7785,5210,669.24
2371,1158,1225,1057.86
2372,4789,3896,813.53
2379,291,514,1766.32
2380,11118,5328,479.22
2381,1302,1177,903.99
2382,1381,1205,872.56
2386,293,370,1262.80
2387,201,267,1328.36
2388,2554,2086,816.76
2390,8540,5216,610.77
2395,725,693,955.86
2396,834,615,737.41
2397,286,598,2090.91
2398,248,257,1036.29
2399,623,743,1192.62
2400,9708,4718,485.99
2401,299,396,1324.41
2402,1745,1402,803.44
2403,719,764,1062.59
2404,1676,1367,815.63
2405,500,516,1032.00
2406,705,426,604.26
2408,310,386,1245.16
2409,1072,409,381.53
2410,240,284,1183.33
2411,104,122,1173.08
2415,429,380,885.78
2420,4016,2073,516.19
2421,2069,1236,597.39
2422,5608,3026,539.59
2423,3297,1407,426.75
2424,480,533,1110.42
2425,2018,1238,613.48
2426,850,246,289.41
2427,3463,539,155.65
2428,25187,2188,86.87
2429,9650,4530,469.43
2430,36841,6139,166.63
2431,5628,901,160.09
2439,4031,1293,320.76
2440,23166,7543,325.61
2441,4288,2302,536.85
2443,8739,1828,209.18
2444,51117,4363,85.35
2445,7350,918,124.90
2446,15054,5113,339.64
2447,7809,2367,303.11
2448,9618,1040,108.13
2449,2165,1072,495.15
2450,47335,7594,160.43
2452,15260,1324,86.76
2453,2787,1516,543.95
2454,7953,1799,226.20
2455,3185,659,206.91
2456,17141,1796,104.78
2460,31079,10270,330.45
2462,2529,1218,481.61
2463,8304,2183,262.89
2464,7058,580,82.18
2465,346,96,277.46
2466,1765,378,214.16
2469,4359,2684,615.74
2470,15477,4855,313.69
2471,2821,1155,409.43
2472,1987,615,309.51
2473,3203,348,108.65
2474,6492,2911,448.40
2475,399,313,784.46
2476,847,531,626.92
2477,12899,2058,159.55
2478,32053,1734,54.10
2479,5780,746,129.07
2480,45938,7709,167.81
2481,13659,567,41.51
2482,6967,625,89.71
2483,11616,837,72.06
2484,20083,3690,183.74
2485,15349,465,30.30
2486,32838,1919,58.44
2487,15090,661,43.80
2488,3523,103,29.24
2489,7894,361,45.73
2490,690,73,105.80
2500,43472,1851,42.58
2502,12551,995,79.28
2505,5088,354,69.58
2506,7798,559,71.69
2508,9346,1060,113.42
2515,11745,690,58.75
2516,6798,457,67.23
2517,13959,725,51.94
2518,19864,1398,70.38
2519,17227,1349,78.31
2525,12335,987,80.02
2526,16736,1545,92.32
2527,26072,3216,123.35
2528,23735,1656,69.77
2529,29134,2174,74.62
2530,35038,3641,103.92
2533,17177,1699,98.91
2534,5767,513,88.95
2535,7993,1283,160.52
2536,19333,3179,164.43
2537,12981,2698,207.84
2538,2580,1002,388.37
2539,20305,3139,154.59
2540,48267,8226,170.43
2541,28038,3861,137.71
2545,1117,500,447.63
2546,10066,2205,219.05
2548,8419,1003,119.14
2549,4101,1311,319.68
2550,16936,7446,439.66
2551,3718,989,266.00
2555,168,29,172.62
2556,2433,986,405.26
2557,20103,2418,120.28
2558,11099,687,61.90
2559,2991,57,19.06
2560,82543,4966,60.16
2563,276,72,260.87
2564,14198,362,25.50
2565,31588,1404,44.45
2566,27796,1450,52.17
2567,40951,4011,97.95
2568,1252,325,259.58
2569,1386,444,320.35
2570,63663,9956,156.39
2571,13174,3173,240.85
2572,5484,1680,306.35
2573,5777,1086,187.99
2574,5934,1829,308.22
2575,17846,3990,223.58
2576,14189,1732,122.07
2577,16724,4438,265.37
2578,2846,476,167.25
2579,4646,2462,529.92
2580,31629,14471,457.52
2581,2507,2130,849.62
2582,13693,7073,516.54
2583,4604,4399,955.47
2584,550,454,825.45
2585,235,244,1038.30
2586,2871,2854,994.08
2587,2932,1705,581.51
2588,299,289,966.56
2590,7153,2879,402.49
2594,12150,5860,482.30
2611,N/A,169,
2618,N/A,653,
2619,9601,1680,174.98
2620,45604,10862,238.18
2621,6688,3164,473.09
2622,4141,4617,1114.95
2623,611,436,713.58
2624,162,2,12.35
2625,400,2,5.00
2626,515,600,1165.05
2627,5263,1486,282.35
2628,2176,1817,835.02
2629,534,515,964.42
2630,8876,5289,595.88
2631,629,796,1265.50
2632,1892,1808,955.60
2633,321,366,1140.19
2640,39879,7994,200.46
2641,16550,2700,163.14
2642,5476,3689,673.67
2643,2997,1202,401.07
2644,2442,1707,699.02
2645,339,239,705.01
2646,6841,3063,447.74
2647,2557,1006,393.43
2648,2671,2766,1035.57
2649,30,23,766.67
2650,61511,12663,205.87
2651,3081,559,181.43
2652,4757,3848,808.91
2653,2636,2142,812.59
2655,1416,885,625.00
2656,1327,661,498.12
2658,1488,856,575.27
2659,871,632,725.60
2660,1607,814,506.53
2661,395,30,75.95
2663,5281,1633,309.22
2665,2017,1712,848.79
2666,5636,2883,511.53
2668,404,360,891.09
2669,1539,1611,1046.78
2671,3969,2304,580.50
2672,1511,1084,717.41
2675,1659,1356,817.36
2678,433,4,9.24
2680,25339,7910,312.17
2681,1793,1085,605.13
2700,4873,1987,407.76
2701,2492,1382,554.57
2702,793,313,394.70
2703,744,238,319.89
2705,10687,4041,378.12
2706,1030,474,460.19
2707,1167,1035,886.89
2710,9743,5717,586.78
2711,3197,2661,832.34
2712,1375,667,485.09
2713,2746,1305,475.24
2714,2921,966,330.71
2715,1382,1323,957.31
2716,988,749,758.10
2717,1205,564,468.05
2720,8501,3326,391.25
2721,230,243,1056.52
2722,3418,2035,595.38
2725,347,249,717.58
2726,255,309,1211.76
2727,348,412,1183.91
2729,1622,1503,926.63
2730,1335,765,573.03
2731,7446,1698,228.04
2732,1877,1305,695.26
2733,598,589,984.95
2734,472,508,1076.27
2735,408,353,865.20
2736,419,179,427.21
2737,822,412,501.22
2738,2132,1031,483.58
