POSTCODE,POPULATION
2481,13659
2482,6967
2483,11616
2484,20083
2485,15349
2486,32838
2487,15090
2488,3523
2489,7894
2490,690
2500,43472
2502,12551
2505,5088
2506,7798
2508,9346
2515,11745
2516,6798
2517,13959
2518,19864
2519,17227
2525,12335
2526,16736
2527,26072
2528,23735
2529,29134
2530,35038
2533,17177
2534,5767
2535,7993
2536,19333
2537,12981
2538,2580
2539,20305
2540,48267
2541,28038
2545,1117
2546,10066
2548,8419
2549,4101
2550,16936
2551,3718
2555,168
2556,2433
2557,20103
2558,11099
2559,2991
2560,82543
2563,276
2564,14198
2565,31588
2566,27796
2567,40951
2568,1252
2569,1386
2570,63663
2571,13174
2572,5484
2573,5777
2574,5934
2575,17846
2576,14189
2577,16724
2578,2846
2579,4646
2580,31629
2581,2507
2582,13693
2583,4604
2584,550
2585,235
2586,2871
2587,2932
2588,299
2590,7153
2594,12150
2619,9601
2620,45604
2621,6688
2622,4141
2623,611
2624,162
2625,400
2626,515
2627,5263
2628,2176
2629,534
2630,8876
2631,629
2632,1892
2633,321
2640,39879
2641,16550
2642,5476
2643,2997
2644,2442
2645,339
2646,6841
2647,2557
2648,2671
2649,30
2650,61511
2651,3081
2652,4757
2653,2636
2655,1416
2656,1327
2658,1488
2659,871
2660,1607
2661,395
2663,5281
2665,2017
2666,5636
2668,404
2669,1539
2671,3969
2672,1511
2675,1659
2678,433
2680,25339
2681,1793
2700,4873
2701,2492
2702,793
2703,744
2705,10687
2706,1030
2707,1167
2710,9743
2711,3197
2712,1375
2713,2746
2714,2921
2715,1382
2716,988
2717,1205
2720,8501
2721,230
2722,3418
2725,347
2726,255
2727,348
2729,1622
2730,1335
2731,7446
2732,1877
2733,598
2734,472
2735,408
2736,419
2737,822
2738,2132
2739,1414
2745,31847
2747,54397
2748,1798
2749,17029
2750,49204
2752,5747
2753,17587
2754,7065
2756,35328
2757,850
2758,8848
2759,26434
2760,37632
2761,34702
2762,21780
2763,33197
2765,45613
2766,17047
2767,23384
2768,28864
2769,16315
2770,61494
2773,5978
2774,13010
2775,1518
2776,4156
2777,17816
2778,2425
2779,5077
2780,13348
2782,6428
2783,2651
2784,1300
2785,4822
2786,1178
2787,4605
2790,15452
2791,322
2792,386
2793,1074
2794,10504
2795,45077
2797,434
2798,2193
2799,4156
2800,48283
2803,286
2804,2832
2805,408
2806,862
2807,450
2808,216
2809,202
2810,3132
2817,359
2818,849
2820,7378
2821,4778
2822,433
2823,1340
2824,2055
2825,2202
2826,178
2827,3678
2828,798
2829,2965
2830,44963
2831,1845
2832,2149
2833,634
2834,1984
2835,3793
2836,895
2838,223
2839,1079
2840,2389
2842,720
2843,1262
2844,1312
2845,2019
2846,253
2847,2447
2848,1540
2849,1610
2850,19146
2852,3734
2864,824
2865,927
2866,3112
2867,636
2868,579
2869,1528
2870,12036
2871,8965
2873,560
2874,369
2875,802
2876,494
2877,3575
2878,286
2879,577
2880,18097
2898,445
